"2026/02/18 11:25:50 AM GMT+5:30","Site Reliability Engineer","SRE Engineer","Information Technology (IT)","201-500 (Large organization)","4-6 years","Remote/Work from home","Desktop PC (Custom built)","32 GB","AMD","High-end (i7, Ryzen 7, M2/M3)","AMD Ryzen 7 5800X","8 cores","3.8 GHz","NVMe SSD (Faster PCIe SSD)","1 TB","Mid-range dedicated GPU (RTX 3060, RX 6700 XT)","NVIDIA RTX 3060 Ti","8 GB","Linux (Ubuntu)","24 inches (external monitor)","Dual monitors","Prometheus, Grafana, Kubernetes, Docker, Python, Terminal","Small (Under 10 MB)","Above LKR 300,000","Monitoring, incident response, automation, performance tuning","8-10 hours","Frequently (6-10 applications at a time)","3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs","No performance issues","Never","Occasionally (1-2 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","Faster CPU/Processor;More RAM (memory);Larger or faster storage (SSD upgrade)","1-2 years ago","Desktop PC (Tower/Standard)","No, can be stationary",""
"2026/02/18 11:30:15 AM GMT+5:30","Technical Support Engineer","Support Engineer","Information Technology (IT)","51-200 (Medium-sized business)","2-3 years","On-site (at campus/office)","Standard Laptop","8 GB","Intel","Entry-level (i3, Ryzen 3, M1)","Intel Core i3-10110U","2 cores","2.1 GHz","SATA SSD (Slower SSD)","256 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel UHD Graphics","Shared","Windows 10","14 inches","Dual monitors","Zendesk, Remote Desktop, TeamViewer, Chrome, MS Office","Small (Under 10 MB)","LKR 150,000 - 200,000","Customer support, troubleshooting, ticket resolution","8-10 hours","Moderately (3-5 applications at a time)","2 - Light (document editing, web browsing)","Partially (some tasks are slow or require workarounds)","System freezes/lag;Application crashes;Slow boot times","Occasionally (2-3 times per week)","Frequently (3-4 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","More RAM (memory);Faster CPU/Processor;Faster storage (SSD upgrade)","2-3 years ago","Windows Laptop","No, can be stationary","Need better multitasking performance"
"2026/02/18 11:35:40 AM GMT+5:30","Embedded Systems Engineer","Firmware Engineer","Information Technology (IT)","51-200 (Medium-sized business)","4-6 years","Hybrid","Desktop PC (Standard)","16 GB","Intel","Mid-range (i5, Ryzen 5, M1/M2)","Intel Core i7-11700","8 cores","2.5 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel UHD Graphics 750","Shared","Windows 10","22 inches (external monitor)","Single monitor/screen only","Keil uVision, IAR Embedded Workbench, VS Code, Arduino IDE, MATLAB","Small (Under 10 MB)","LKR 200,000 - 250,000","Firmware development, hardware debugging, testing","6-8 hours","Moderately (3-5 applications at a time)","2 - Light (document editing, web browsing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Frequently (3-4 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","More RAM (memory);Larger or faster storage (SSD upgrade)","2-3 years ago","Desktop PC (Tower/Standard)","No, can be stationary",""
"2026/02/18 11:40:55 AM GMT+5:30","University/College Student (CS/IT)","Cybersecurity Undergraduate","Education - University","1000+ (Enterprise)","Less than 1 year","On-site (at campus/office)","Standard Laptop","8 GB","Intel","Entry-level (i3, Ryzen 3, M1)","Intel Core i5-8250U","4 cores","1.6 GHz","SATA SSD (Slower SSD)","256 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel UHD Graphics 620","Shared","Windows 10","14 inches","Single monitor/screen only","VirtualBox, Kali Linux, Wireshark, VS Code, Chrome","Small (Under 10 MB)","LKR 150,000 - 200,000","Cybersecurity labs, CTF challenges, programming","6-8 hours","Frequently (6-10 applications at a time)","3 - Moderate (programming, data analysis, photo editing)","Partially (some tasks are slow or require workarounds)","System freezes/lag;Overheating;Battery drain (for laptops)","Occasionally (2-3 times per week)","Frequently (3-4 hours/week)","Not needed","Fiber broadband (University WiFi)","More RAM (memory);Faster CPU/Processor;Better cooling","2-3 years ago","Windows Laptop","Must be portable (travel frequently for work)","Struggles to run multiple VMs for security labs"
"2026/02/18 11:45:20 AM GMT+5:30","Product Manager","Technical Product Manager","Information Technology (IT)","201-500 (Large organization)","7-10 years","Hybrid","MacBook or Mac desktop","16 GB","Apple","Mid-range (i5, Ryzen 5, M1/M2)","Apple M1 Pro","8 cores","3.2 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Integrated graphics (Intel UHD, AMD Radeon)","Apple M1 Pro GPU","Shared","macOS","14 inches","Dual monitors","Jira, Confluence, Figma, MS Office, Slack, Zoom, Analytics tools","Small (Under 10 MB)","Above LKR 300,000","Product strategy, roadmap planning, stakeholder management","6-8 hours","Moderately (3-5 applications at a time)","2 - Light (document editing, web browsing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Rarely (1-2 hours/month)","Not needed","Fiber broadband (SLT, Dialog Fiber, etc.)","Larger screen;Larger or faster storage (SSD upgrade)","1-2 years ago","MacBook or Mac desktop","Must be portable (travel frequently for work)",""
"2026/02/18 11:50:35 AM GMT+5:30","IT Consultant","IT Consultant - Freelance","Information Technology (IT)","Self-employed/Freelancer","7-10 years","Remote/Work from home","Gaming Laptop","32 GB","AMD","High-end (i7, Ryzen 7, M2/M3)","AMD Ryzen 9 5900HX","8 cores","3.3 GHz","NVMe SSD (Faster PCIe SSD)","1 TB","Mid-range dedicated GPU (RTX 3060, RX 6700 XT)","NVIDIA RTX 3080","8 GB","Windows 11","15 inches","Dual monitors","VS Code, Docker, VirtualBox, Chrome, Slack, Zoom, Office 365","Medium (10 MB - 100 MB)","Above LKR 300,000","Consulting, development, client meetings, documentation","8-10 hours","Frequently (6-10 applications at a time)","3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs","Battery drain (for laptops);Excessive fan noise","Occasionally (2-3 times per week)","Occasionally (1-2 hours/week)","Yes (UPS)","Fiber broadband (Dialog Fiber, SLT)","Larger battery (for laptops);Lighter/more portable (laptops)","1-2 years ago","Windows Laptop","Must be portable (travel frequently for work)","Good performance but heavy to carry around"
"2026/02/18 11:55:50 AM GMT+5:30","Research Assistant (CS/IT)","Research Assistant - AI Lab","Education - University","1000+ (Enterprise)","2-3 years","On-site (at campus/office)","Desktop PC (Custom built)","64 GB","Intel","High-end (i7, Ryzen 7, M2/M3)","Intel Core i9-12900K","16 cores","3.2 GHz","NVMe SSD (Faster PCIe SSD)","2 TB","High-end dedicated GPU (RTX 4070, RX 7800 XT)","NVIDIA RTX 3090","24 GB","Linux (Ubuntu)","24 inches (external monitor)","Single monitor/screen only","Python, TensorFlow, PyTorch, MATLAB, LaTeX, VS Code","Large files (100 MB - 1 GB)","Above LKR 300,000 (University funded)","Research, model training, paper writing, data analysis","8-10 hours","Frequently (6-10 applications at a time)","4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs","No performance issues","Never","Frequently (3-4 hours/week)","Yes (UPS)","Fiber broadband (University network - LEARN)","More RAM (memory);Better graphics card (GPU);Larger or faster storage (SSD upgrade)","Less than 1 year ago","Desktop PC (Tower/Standard)","No, can be stationary","High-end workstation for AI research"
"2026/02/18 12:00:10 PM GMT+5:30","Network Security Engineer","Network Security Specialist","Information Technology (IT)","201-500 (Large organization)","4-6 years","Hybrid","Standard Laptop","16 GB","Intel","Mid-range (i5, Ryzen 5, M1/M2)","Intel Core i7-1185G7","4 cores","3.0 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel Iris Xe","Shared","Windows 11","14 inches","Dual monitors","Wireshark, Cisco ASDM, Palo Alto Firewall, Putty, VPN clients","Small (Under 10 MB)","LKR 250,000 - 300,000","Firewall management, VPN setup, security monitoring","8-10 hours","Moderately (3-5 applications at a time)","2 - Light (document editing, web browsing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Frequently (3-4 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","Larger battery (for laptops)","1-2 years ago","Windows Laptop","Must be portable (travel frequently for work)",""
"2026/02/18 12:05:25 PM GMT+5:30","Full Stack Developer (Intern)","Intern Software Engineer","Information Technology (IT)","51-200 (Medium-sized business)","Less than 1 year","Hybrid","Standard Laptop","8 GB","Intel","Entry-level (i3, Ryzen 3, M1)","Intel Core i5-10210U","4 cores","1.6 GHz","SATA SSD (Slower SSD)","256 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel UHD Graphics","Shared","Windows 10","14 inches","Single monitor/screen only","VS Code, Chrome, Postman, Git, Slack, MS Teams","Small (Under 10 MB)","LKR 150,000 - 200,000","Web development, learning, bug fixes, documentation","6-8 hours","Moderately (3-5 applications at a time)","2 - Light (document editing, web browsing)","Partially (some tasks are slow or require workarounds)","System freezes/lag;Slow boot times;Application crashes","Occasionally (2-3 times per week)","Frequently (3-4 hours/week)","Not needed","Fiber broadband (Office network)","More RAM (memory);Faster storage (SSD upgrade);Faster CPU/Processor","2-3 years ago","Windows Laptop","Must be portable (travel frequently for work)","Company laptop is slow, affects productivity"
"2026/02/18 12:10:40 PM GMT+5:30","IT Manager","IT Manager","Information Technology (IT)","51-200 (Medium-sized business)","10+ years","On-site (at campus/office)","Desktop PC (Standard)","16 GB","Intel","Mid-range (i5, Ryzen 5, M1/M2)","Intel Core i7-12700","12 cores","2.1 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel UHD Graphics 770","Shared","Windows 11","24 inches (external monitor)","Dual monitors","MS Office, Jira, Confluence, Slack, Zoom, monitoring dashboards","Small (Under 10 MB)","LKR 250,000 - 300,000","Team management, budgeting, planning, reporting","6-8 hours","Moderately (3-5 applications at a time)","2 - Light (document editing, web browsing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Frequently (3-4 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","Larger or faster storage (SSD upgrade);More RAM (memory)","2-3 years ago","Desktop PC (Tower/Standard)","No, can be stationary",""
"2026/02/18 12:15:55 PM GMT+5:30","University/College Student (CS/IT)","MSc in Computer Science Student","Education - University","501-1000 (Large organization)","Less than 1 year","Hybrid","Gaming Laptop","16 GB","Intel","Mid-range (i5, Ryzen 5, M1/M2)","Intel Core i7-10750H","6 cores","2.6 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Entry-level dedicated GPU (GTX 1650, RX 6500 XT)","NVIDIA GTX 1650","4 GB","Windows 11","15 inches","Single monitor/screen only","VS Code, PyCharm, Jupyter, Docker, VirtualBox, Chrome, Zoom","Medium (10 MB - 100 MB)","LKR 200,000 - 250,000","Coursework, projects, research, online classes","6-8 hours","Frequently (6-10 applications at a time)","3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs","Battery drain (for laptops)","Occasionally (2-3 times per week)","Occasionally (1-2 hours/week)","Yes (UPS)","Fiber broadband (Dialog Fiber, SLT)","Larger battery (for laptops);Lighter/more portable (laptops)","1-2 years ago","Windows Laptop","Must be portable (travel frequently for work)","Good performance for studies, battery could be better"
"2026/02/18 12:20:20 PM GMT+5:30","Salesforce Developer","Salesforce Consultant","Information Technology (IT)","201-500 (Large organization)","2-3 years","Remote/Work from home","Standard Laptop","16 GB","Intel","Mid-range (i5, Ryzen 5, M1/M2)","Intel Core i5-1135G7","4 cores","2.4 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel Iris Xe","Shared","Windows 11","14 inches","Dual monitors","Salesforce, VS Code, Chrome, Postman, Jira, Slack","Small (Under 10 MB)","LKR 200,000 - 250,000","Salesforce development, customization, testing","6-8 hours","Moderately (3-5 applications at a time)","2 - Light (document editing, web browsing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Occasionally (1-2 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","More RAM (memory);Larger screen","1-2 years ago","Windows Laptop","Must be portable (travel frequently for work)",""
"2026/02/18 12:25:35 PM GMT+5:30","Scrum Master","Agile Coach","Information Technology (IT)","201-500 (Large organization)","7-10 years","Hybrid","MacBook or Mac desktop","16 GB","Apple","Mid-range (i5, Ryzen 5, M1/M2)","Apple M1","8 cores","3.2 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Integrated graphics (Intel UHD, AMD Radeon)","Apple M1 GPU","Shared","macOS","13 inches","Single monitor/screen only","Jira, Confluence, Miro, Slack, Zoom, MS Office","Small (Under 10 MB)","Above LKR 300,000","Facilitating scrum ceremonies, coaching, reporting","6-8 hours","Moderately (3-5 applications at a time)","1 - Very light (email, web browsing)","Yes, fully meets my needs","No performance issues","Never","Rarely (1-2 hours/month)","Not needed","Fiber broadband (SLT, Dialog Fiber, etc.)","Larger screen;Larger or faster storage (SSD upgrade)","1-2 years ago","MacBook or Mac desktop","Must be portable (travel frequently for work)",""
"2026/02/18 12:30:50 PM GMT+5:30","Bioinformatics Specialist","Bioinformatics Analyst","Healthcare/Medical","1000+ (Enterprise)","4-6 years","Hybrid","Desktop PC (Custom built)","64 GB","AMD","High-end (i7, Ryzen 7, M2/M3)","AMD Ryzen 9 5950X","16 cores","3.4 GHz","NVMe SSD (Faster PCIe SSD)","2 TB","Mid-range dedicated GPU (RTX 3060, RX 6700 XT)","NVIDIA RTX 3060","12 GB","Linux (Ubuntu)","27 inches (external monitor)","Single monitor/screen only","Python, R, Bioconductor, BLAST, Geneious, VS Code","Large files (100 MB - 1 GB)","Above LKR 300,000 (Research grant)","Genetic data analysis, research, visualization","8-10 hours","Frequently (6-10 applications at a time)","4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Occasionally (1-2 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","More RAM (memory);Larger or faster storage (SSD upgrade);Better graphics card (GPU)","1-2 years ago","Desktop PC (Tower/Standard)","No, can be stationary","Need high RAM for large genomic datasets"
"2026/02/18 12:35:15 PM GMT+5:30","IT Procurement Specialist","IT Procurement Officer","Information Technology (IT)","201-500 (Large organization)","4-6 years","On-site (at campus/office)","Standard Laptop","8 GB","Intel","Entry-level (i3, Ryzen 3, M1)","Intel Core i3-1115G4","2 cores","3.0 GHz","SATA SSD (Slower SSD)","256 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel UHD Graphics","Shared","Windows 10","14 inches","Single monitor/screen only","MS Office, ERP system, Email, Chrome, Procurement software","Small (Under 10 MB)","LKR 150,000 - 200,000","Vendor management, purchasing, inventory tracking","6-8 hours","Occasionally (2-3 apps at a time)","1 - Very light (email, web browsing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Frequently (3-4 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","Larger or faster storage (SSD upgrade);More RAM (memory)","2-3 years ago","Windows Laptop","No, can be stationary",""
"2026/02/18 12:40:30 PM GMT+5:30","University/College Student (CS/IT)","Information Systems Undergraduate","Education - University","1000+ (Enterprise)","Less than 1 year","On-site (at campus/office)","Budget Laptop","4 GB","Intel","Entry-level (i3, Ryzen 3, M1)","Intel Celeron N4000","2 cores","1.1 GHz","eMMC storage","32 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel UHD Graphics 600","Shared","Windows 10","14 inches","Single monitor/screen only","Chrome, MS Office, VS Code (basic), Zoom","Small (Under 10 MB)","Under LKR 100,000","Assignments, online classes, basic programming","4-6 hours","Occasionally (2-3 apps at a time)","1 - Very light (email, web browsing)","No (insufficient for my needs)","Slow boot times;System freezes/lag;Application crashes;Overheating","Frequently (multiple times daily)","Frequently (3-4 hours/week)","Not needed","Mobile broadband (4G dongle)","Faster CPU/Processor;More RAM (memory);Faster storage (SSD upgrade)","More than 3 years ago","Windows Laptop","Must be portable (travel frequently for work)","Very slow, can barely run basic applications"
"2026/02/18 12:45:45 PM GMT+5:30","ETL Developer","Data Integration Specialist","Information Technology (IT)","201-500 (Large organization)","4-6 years","Hybrid","Desktop PC (Standard)","32 GB","Intel","High-end (i7, Ryzen 7, M2/M3)","Intel Core i7-11700K","8 cores","3.6 GHz","NVMe SSD (Faster PCIe SSD)","1 TB","Entry-level dedicated GPU (GTX 1650, RX 6500 XT)","NVIDIA GT 1030","2 GB","Windows 11","24 inches (external monitor)","Dual monitors","SSIS, SSMS, Visual Studio, Python, Excel, Oracle SQL Developer","Medium (10 MB - 100 MB)","LKR 250,000 - 300,000","ETL processes, data warehousing, data migration","8-10 hours","Frequently (6-10 applications at a time)","3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Frequently (3-4 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","More RAM (memory);Larger or faster storage (SSD upgrade)","2-3 years ago","Desktop PC (Tower/Standard)","No, can be stationary",""
"2026/02/18 12:50:55 PM GMT+5:30","Blockchain Developer","Smart Contract Developer","Information Technology (IT)","11-50 (Small to medium)","2-3 years","Remote/Work from home","Gaming Laptop","32 GB","Intel","High-end (i7, Ryzen 7, M2/M3)","Intel Core i9-11900H","8 cores","2.5 GHz","NVMe SSD (Faster PCIe SSD)","1 TB","Mid-range dedicated GPU (RTX 3060, RX 6700 XT)","NVIDIA RTX 3070","8 GB","Windows 11","15 inches","Dual monitors","VS Code, Remix IDE, Ganache, MetaMask, Node.js, Docker","Small (Under 10 MB)","Above LKR 300,000","Smart contract development, DApp development, testing","6-8 hours","Frequently (6-10 applications at a time)","3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs","Battery drain (for laptops);Excessive fan noise","Occasionally (2-3 times per week)","Rarely (1-2 hours/month)","Not needed","Fiber broadband (Dialog Fiber, SLT)","Larger battery (for laptops);More RAM (memory)","1-2 years ago","Windows Laptop","Must be portable (travel frequently for work)",""
"2026/02/18 12:55:20 PM GMT+5:30","IT Auditor","IT Audit Specialist","Information Technology (IT)","201-500 (Large organization)","7-10 years","Hybrid","Standard Laptop","16 GB","Intel","Mid-range (i5, Ryzen 5, M1/M2)","Intel Core i7-1165G7","4 cores","2.8 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel Iris Xe","Shared","Windows 11","14 inches","Dual monitors","MS Office, ACL Analytics, SAP, Audit software, Chrome","Small (Under 10 MB)","LKR 250,000 - 300,000","IT controls testing, compliance checking, reporting","6-8 hours","Moderately (3-5 applications at a time)","2 - Light (document editing, web browsing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Frequently (3-4 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","Larger battery (for laptops);Lighter/more portable (laptops)","2-3 years ago","Windows Laptop","Must be portable (travel frequently for work)",""
"2026/02/18 1:00:35 PM GMT+5:30","University/College Student (CS/IT)","Diploma in IT Student","Education - Private Institute","51-200 (Medium-sized business)","Less than 1 year","On-site (at campus/office)","Standard Laptop","8 GB","AMD","Entry-level (i3, Ryzen 3, M1)","AMD Ryzen 3 3250U","2 cores","2.6 GHz","SATA SSD (Slower SSD)","256 GB","Integrated graphics (Intel UHD, AMD Radeon)","AMD Radeon Vega 3","Shared","Windows 11","15 inches","Single monitor/screen only","MS Office, Chrome, VS Code, MySQL, Zoom","Small (Under 10 MB)","LKR 100,000 - 150,000","Learning programming, assignments, online classes","4-6 hours","Moderately (3-5 applications at a time)","2 - Light (document editing, web browsing)","Partially (some tasks are slow or require workarounds)","System freezes/lag;Slow boot times","Occasionally (2-3 times per week)","Frequently (3-4 hours/week)","Not needed","Mobile broadband (4G/5G dongle)","More RAM (memory);Faster CPU/Processor;Faster storage (SSD upgrade)","1-2 years ago","Windows Laptop","Must be portable (travel frequently for work)",""
"2026/02/18 1:05:50 PM GMT+5:30","Telecommunications Engineer","Network Planning Engineer","Telecommunications","1000+ (Enterprise)","4-6 years","Hybrid","Standard Laptop","16 GB","Intel","Mid-range (i5, Ryzen 5, M1/M2)","Intel Core i7-1165G7","4 cores","2.8 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel Iris Xe","Shared","Windows 11","14 inches","Dual monitors","MATLAB, Atoll, MapInfo, MS Office, VPN clients","Small (Under 10 MB)","LKR 250,000 - 300,000","Network planning, RF optimization, coverage analysis","6-8 hours","Moderately (3-5 applications at a time)","2 - Light (document editing, web browsing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Occasionally (1-2 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","More RAM (memory);Faster CPU/Processor","1-2 years ago","Windows Laptop","Must be portable (travel frequently for work)",""
"2026/02/18 1:10:15 PM GMT+5:30","Technical Writer","Technical Documentation Specialist","Information Technology (IT)","51-200 (Medium-sized business)","2-3 years","Remote/Work from home","Standard Laptop","8 GB","Intel","Entry-level (i3, Ryzen 3, M1)","Intel Core i3-10110U","2 cores","2.1 GHz","SATA SSD (Slower SSD)","256 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel UHD Graphics","Shared","Windows 10","14 inches","Single monitor/screen only","MS Office, MadCap Flare, Snagit, VS Code, Chrome","Small (Under 10 MB)","LKR 150,000 - 200,000","Documentation, user manuals, API documentation","6-8 hours","Moderately (3-5 applications at a time)","1 - Very light (email, web browsing)","Partially (some tasks are slow or require workarounds)","Application crashes;Slow boot times","Occasionally (2-3 times per week)","Rarely (1-2 hours/month)","Not needed","Fiber broadband (Dialog Fiber, SLT)","Faster CPU/Processor;More RAM (memory);Faster storage (SSD upgrade)","2-3 years ago","Windows Laptop","Must be portable (travel frequently for work)",""
"2026/02/18 1:15:30 PM GMT+5:30","AR/VR Developer","Immersive Tech Developer","Information Technology (IT)","11-50 (Small to medium)","2-3 years","Hybrid","Gaming Laptop","32 GB","Intel","High-end (i7, Ryzen 7, M2/M3)","Intel Core i7-11800H","8 cores","2.3 GHz","NVMe SSD (Faster PCIe SSD)","1 TB","High-end dedicated GPU (RTX 4070, RX 7800 XT)","NVIDIA RTX 3070 Ti","8 GB","Windows 11","15 inches","Single monitor/screen only","Unity, Unreal Engine, Blender, VS Code, Oculus SDK","Large files (100 MB - 1 GB)","Above LKR 300,000","AR/VR app development, 3D modeling, testing","8-10 hours","Frequently (6-10 applications at a time)","4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs","Excessive fan noise;Battery drain (for laptops)","Occasionally (2-3 times per week)","Occasionally (1-2 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","Better graphics card (GPU);More RAM (memory);Larger or faster storage (SSD upgrade)","1-2 years ago","Windows Laptop","Must be portable (travel frequently for work)","Need powerful GPU for VR development"
"2026/02/18 1:20:45 PM GMT+5:30","Quality Assurance Manager","QA Lead","Information Technology (IT)","201-500 (Large organization)","7-10 years","Hybrid","Standard Laptop","16 GB","Intel","Mid-range (i5, Ryzen 5, M1/M2)","Intel Core i7-1165G7","4 cores","2.8 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel Iris Xe","Shared","Windows 11","14 inches","Dual monitors","JIRA, TestRail, Selenium, Jenkins, MS Office, Slack","Small (Under 10 MB)","LKR 250,000 - 300,000","QA strategy, team management, test planning, reporting","6-8 hours","Moderately (3-5 applications at a time)","2 - Light (document editing, web browsing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Frequently (3-4 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","Larger battery (for laptops);Larger screen","2-3 years ago","Windows Laptop","Must be portable (travel frequently for work)",""
"2026/02/18 1:25:55 PM GMT+5:30","University/College Student (CS/IT)","IT Undergraduate - Final Year","Education - University","1000+ (Enterprise)","Less than 1 year","On-site (at campus/office)","Standard Laptop","8 GB","Intel","Entry-level (i3, Ryzen 3, M1)","Intel Core i5-8265U","4 cores","1.6 GHz","SATA SSD (Slower SSD)","256 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel UHD Graphics 620","Shared","Windows 10","14 inches","Single monitor/screen only","VS Code, Android Studio, MS Office, Chrome, Zoom, Figma","Medium (10 MB - 100 MB)","LKR 150,000 - 200,000","Final year project, research, coursework","6-8 hours","Frequently (6-10 applications at a time)","3 - Moderate (programming, data analysis, photo editing)","Partially (some tasks are slow or require workarounds)","System freezes/lag;Overheating;Battery drain (for laptops)","Occasionally (2-3 times per week)","Frequently (3-4 hours/week)","Not needed","Fiber broadband (University WiFi)","More RAM (memory);Faster CPU/Processor;Better cooling","2-3 years ago","Windows Laptop","Must be portable (travel frequently for work)","Struggling with Android Studio and final year project development"
"2026/02/18 1:30:20 PM GMT+5:30","Solutions Architect","Solutions Architect","Information Technology (IT)","201-500 (Large organization)","10+ years","Hybrid","MacBook or Mac desktop","32 GB","Apple","High-end (i7, Ryzen 7, M2/M3)","Apple M2 Max","12 cores","3.7 GHz","NVMe SSD (Faster PCIe SSD)","1 TB","Mid-range dedicated GPU (RTX 3060, RX 6700 XT)","Apple M2 Max GPU","38 GB","macOS","16 inches","Dual monitors","VS Code, Draw.io, Jira, Confluence, Slack, Zoom, AWS Console","Small (Under 10 MB)","Above LKR 300,000","Solution design, architecture review, client meetings","8-10 hours","Frequently (6-10 applications at a time)","3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs","No performance issues","Never","Occasionally (1-2 hours/week)","Not needed","Fiber broadband (SLT, Dialog Fiber, etc.)","Larger or faster storage (SSD upgrade);More RAM (memory)","Less than 1 year ago","MacBook or Mac desktop","Must be portable (travel frequently for work)",""
"2026/02/18 1:35:35 PM GMT+5:30","IT Recruiter","Technical Recruiter","Information Technology (IT)","51-200 (Medium-sized business)","2-3 years","On-site (at campus/office)","Standard Laptop","8 GB","Intel","Entry-level (i3, Ryzen 3, M1)","Intel Core i3-1005G1","2 cores","1.2 GHz","SATA SSD (Slower SSD)","256 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel UHD Graphics","Shared","Windows 10","14 inches","Single monitor/screen only","LinkedIn, Job portals, MS Office, Zoom, Slack, Email","Small (Under 10 MB)","LKR 150,000 - 200,000","Screening, interviewing, coordination","6-8 hours","Moderately (3-5 applications at a time)","1 - Very light (email, web browsing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Frequently (3-4 hours/week)","Not needed","Fiber broadband (Office network)","Larger or faster storage (SSD upgrade);More RAM (memory)","2-3 years ago","Windows Laptop","No, can be stationary",""
"2026/02/18 1:40:50 PM GMT+5:30","High Performance Computing Specialist","HPC Engineer","Information Technology (IT)","1000+ (Enterprise)","7-10 years","Hybrid","Desktop PC (Custom built)","128 GB","AMD","High-end (i7, Ryzen 7, M2/M3)","AMD Threadripper PRO 5975WX","32 cores","3.6 GHz","NVMe SSD (Faster PCIe SSD)","4 TB","High-end dedicated GPU (RTX 4070, RX 7800 XT)","NVIDIA RTX A6000","48 GB","Linux (CentOS/RHEL)","27 inches (external monitor)","Dual monitors","Slurm, MPI, CUDA, Python, MATLAB, VS Code","Very large files (Over 1 GB)","Above LKR 300,000 (Company provided)","HPC cluster management, parallel computing, optimization","8-10 hours","Frequently (6-10 applications at a time)","5 - Very Heavy (scientific computing, servers)","Yes, fully meets my needs","No performance issues","Never","Occasionally (1-2 hours/week)","Yes (UPS)","Fiber broadband (SLT Leased Line)","More RAM (memory);Larger or faster storage (SSD upgrade);Better graphics card (GPU)","Less than 1 year ago","Desktop PC (Tower/Standard)","No, can be stationary","Workstation for HPC development and testing"
