Timestamp,What is your primary job role/category?,"If comfortable, please specify your exact job title (Optional):",What industry/sector do you work in?,Company size (number of employees),How many years of work experience do you have?,Work arrangement,What type of computer do you primarily use for work?,RAM (Memory) capacity,Processor (CPU) brand,Processor performance tier (if known),"Specific processor model (Optional - Example: Intel Core i7-13700K, AMD Ryzen 7 5800X, Apple M2):",Number of CPU cores,Processor base speed (GHz),Primary storage type,Total storage capacity,Graphics card (GPU) type,"If you have a dedicated graphics card, specify the model (Optional - Example: NVIDIA RTX 4060, AMD Radeon RX 7600):",Graphics card memory (VRAM),Operating system,Screen size (for laptops/all-in-ones),Do you use multiple monitors?,What software/applications do you use regularly?,What is the typical size of files you work with?,What is your budget for a PC?,Primary work activities,How many hours per day do you use your PC for work?,Do you run multiple applications simultaneously?,Rate the intensity of your typical workload:,Is your current PC sufficient for your work requirements?,What performance issues do you experience?,How often does your PC slow down or struggle during work?,Do you experience power interruptions at your location?,Do you use a UPS or generator?,What type of internet connection do you use for work?,"If you could upgrade your PC, what would you prioritize?",When was your current PC purchased or assigned to you?,PC form factor preference?,Portability requirement?,"Any additional comments about your PC specifications, work requirements, or suggestions for the PC recommendation system?"
2026/02/20 11:04:22 AM GMT+5:30,Video Editor/Content Creator,Content Creator,Creative Arts/Media,501-1000 (Large organization),2-3 years,On-site (at campus/office),Gaming Laptop,64 GB,Apple,"Enthusiast/Workstation (i9, Ryzen 9, Threadripper)",Unknown,16 cores,3.7 GHz,NVMe SSD (Faster PCIe SSD),2 TB,"High-end dedicated GPU (RTX 4070, RX 7800 XT)",AMD Radeon RX 7800 XT,12 GB,Windows 11,15 inches,Single monitor/screen only,"Adobe Premiere Pro, After Effects, DaVinci Resolve",Very large files (1 GB+),"LKR 250,000 - 300,000","Video editing, color grading, motion graphics",8-10 hours,Frequently (6-10 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)",Partially (some tasks are slow or require workarounds),System freezes/lag,Never,Never,No (no backup power),ADSL broadband,Larger battery (for laptops);Faster CPU/Processor,1-2 years ago,Gaming Laptop,Preferred portable but not critical,
2026/02/20 11:11:22 AM GMT+5:30,University/College Student (CS/IT),IT Undergraduate,Education - University,501-1000 (Large organization),4-6 years,On-site (at campus/office),Gaming Laptop,16 GB,Intel,"Entry-level (i3, Ryzen 3, M1)",Intel Core i3-12100,2 cores,2.4 GHz,NVMe SSD (Faster PCIe SSD),512 GB,"Entry-level dedicated GPU (GTX 1650, RX 6500 XT)",NVIDIA GTX 1660,4 GB,Windows 11,15 inches,Dual monitors,"IntelliJ IDEA, Eclipse, Python, Git, Slack",Medium (10 MB - 100 MB),"Under LKR 100,000","Data structures coursework, algorithm design, web development",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)",Partially (some tasks are slow or require workarounds),Battery drain (for laptops),Rarely (once a week or less),Never,Not needed,"Fiber broadband (SLT, Dialog Fiber, etc.)",Faster CPU/Processor;Larger battery (for laptops),Less than 1 year ago,Gaming Laptop,Preferred portable but not critical,
2026/02/20 11:18:22 AM GMT+5:30,University/College Student (Non-IT),Engineering Student,Education - University,1000+ (Enterprise),4-6 years,Remote/Work from home,Budget Laptop,4 GB,AMD,"Entry-level (i3, Ryzen 3, M1)",AMD Ryzen 3 4300G,4 cores,2.4 GHz,HDD (Hard Disk Drive),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics 770,Shared,Windows 11 Home,14 inches,Triple monitors,"MS Office, Google Docs, Chrome, Zoom, Teams",Small (Under 10 MB),"Under LKR 100,000","Document editing, spreadsheets, video calls",4-6 hours,Rarely (1-2 apps at a time),"1 - Very light (email, web browsing)","Yes, fully meets my needs",Overheating,Frequently (multiple times daily),Never,Not needed,"Fiber broadband (SLT, Dialog Fiber, etc.)",Better GPU (graphics card);Larger or faster storage (SSD upgrade),Less than 1 year ago,Windows Laptop,Must be portable (travel frequently for work),
2026/02/20 11:25:22 AM GMT+5:30,Business Analyst/Manager,Project Manager,Finance/Banking,11-50 (Small to medium),7-10 years,Remote/Work from home,Standard Laptop,8 GB,Intel,"Entry-level (i3, Ryzen 3, M1)",Intel Core i3-1215U,2 cores,1.1 GHz,NVMe SSD (Faster PCIe SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",AMD Radeon 680M,Shared,Windows 11,13 inches,Dual monitors,"MS Office, Teams, Excel, PowerPoint, Jira, Slack",Medium (10 MB - 100 MB),"LKR 100,000 - 150,000","Business reporting, stakeholder meetings, project tracking",4-6 hours,Occasionally (2-3 apps at a time),"2 - Light (document editing, web browsing)",Partially (some tasks are slow or require workarounds),System freezes/lag,Occasionally (2-3 times per week),Never,Yes (Generator),ADSL broadband,Larger battery (for laptops);Larger or faster storage (SSD upgrade),1-2 years ago,Windows Laptop,Must be portable (travel frequently for work),
2026/02/20 11:32:22 AM GMT+5:30,Accountant/Finance Officer,Financial Analyst,Finance/Banking,201-500 (Large organization),1-3 years,Remote/Work from home,Standard Laptop,16 GB,Intel,"Entry-level (i3, Ryzen 3, M1)",Intel Core i3-12100,2 cores,3.0 GHz,SATA SSD (Slower SSD),500 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics,Shared,Windows 11,13 inches,Dual monitors,"Xero, MYOB, Sage, Email",Small (Under 10 MB),"LKR 150,000 - 200,000","Accounting, payroll, financial reporting, tax filing",8-10 hours,Occasionally (2-3 apps at a time),"2 - Light (document editing, web browsing)","Yes, fully meets my needs",System freezes/lag;Application crashes,Rarely (once a week or less),Never,Not needed,Mobile broadband (4G/5G dongle),More RAM (memory),2-3 years ago,Windows Laptop,Must be portable (travel frequently for work),
2026/02/20 11:39:22 AM GMT+5:30,HR/Administrative Officer,Recruitment Specialist,Healthcare,201-500 (Large organization),1-3 years,Remote/Work from home,Standard Laptop,4 GB,Intel,"Entry-level (i3, Ryzen 3, M1)",Intel Core i3-12100,4 cores,3.0 GHz,HDD (Hard Disk Drive),500 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics,Shared,Windows 11,13 inches,Dual monitors,"MS Office, HRIS, Email, Zoom, Google Workspace",Small (Under 10 MB),"LKR 100,000 - 150,000","Scheduling, document management, email communication",6-8 hours,Rarely (1-2 apps at a time),"2 - Light (document editing, web browsing)","Yes, fully meets my needs",No performance issues,Rarely (once a week or less),Never,No (no backup power),Fiber broadband (University network),Larger battery (for laptops),2-3 years ago,Windows Laptop,Must be portable (travel frequently for work),
2026/02/20 11:46:22 AM GMT+5:30,Customer Service/Support,Customer Service Representative,Retail/E-commerce,501-1000 (Large organization),4-6 years,Hybrid,Standard Laptop,8 GB,Intel,"Entry-level (i3, Ryzen 3, M1)",Intel Core i3-1215U,4 cores,3.0 GHz,HDD (Hard Disk Drive),128 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics 770,Shared,Windows 11,13 inches,Dual monitors,"Salesforce, HubSpot, Slack, Zoom, Google Workspace",Small (Under 10 MB),"LKR 100,000 - 150,000","Live chat support, email support, issue resolution",8-10 hours,Moderately (3-5 applications at a time),"1 - Very light (email, web browsing)","Yes, fully meets my needs",Slow boot times;Application crashes;Overheating,Occasionally (2-3 times per week),Frequently (3-4 hours/week),Yes (UPS),"Fiber broadband (SLT, Dialog Fiber, etc.)",Better GPU (graphics card),1-2 years ago,Windows Laptop,Must be portable (travel frequently for work),
2026/02/20 11:53:22 AM GMT+5:30,Marketing/Digital Marketing Specialist,Digital Marketing Specialist,Retail/E-commerce,1000+ (Enterprise),Less than 1 year,On-site (at campus/office),Standard Laptop,8 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-12500,10 cores,3.3 GHz,NVMe SSD (Faster PCIe SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics 770,Shared,Windows 11,13 inches,Single monitor/screen only,"Adobe Photoshop, Buffer, HubSpot, WordPress, Google Ads",Medium (10 MB - 100 MB),"LKR 150,000 - 200,000","Email marketing, ad campaigns, performance reporting",6-8 hours,Frequently (6-10 applications at a time),"2 - Light (document editing, web browsing)",No (insufficient for my needs),Overheating,Occasionally (2-3 times per week),Rarely (1-2 hours/month),No (no backup power),ADSL broadband,Faster storage (SSD upgrade),1-2 years ago,Windows Laptop,Must be portable (travel frequently for work),
2026/02/20 12:00:22 PM GMT+5:30,Network Administrator,Systems Administrator,Information Technology (IT),1-10 (Small business/Startup),Less than 1 year,Hybrid,Desktop PC (Standard),16 GB,AMD,"Mid-range (i5, Ryzen 5, M1/M2)",AMD Ryzen 5 5600G,6 cores,2.5 GHz,SATA SSD (Slower SSD),1 TB,"Integrated graphics (Intel UHD, AMD Radeon)",AMD Radeon 680M,Shared,Windows 11,22 inches (external monitor),Triple monitors,"Wireshark, PuTTY, Cisco Packet Tracer, PRTG, SolarWinds",Small (Under 10 MB),"LKR 200,000 - 250,000","Network monitoring, configuration, troubleshooting",6-8 hours,Moderately (3-5 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs",No performance issues,Rarely (once a week or less),Occasionally (1-2 hours/week),Yes (Generator),Mobile broadband (4G/5G dongle),Better GPU (graphics card),1-2 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2026/02/20 12:07:22 PM GMT+5:30,Cybersecurity Specialist,Security Engineer,Information Technology (IT),51-200 (Medium-sized business),4-6 years,On-site (at campus/office),Gaming Laptop,64 GB,AMD,"High-end (i7, Ryzen 7, M2/M3)",AMD Ryzen 7 6800H,12 cores,4.0 GHz,NVMe SSD (Faster PCIe SSD),2 TB,"Mid-range dedicated GPU (RTX 3060, RX 6700 XT)",NVIDIA RTX 3060,8 GB,Windows 11,17 inches,Triple monitors,"Kali Linux, Wireshark, Metasploit, Burp Suite, VMs",Medium (10 MB - 100 MB),"Above LKR 300,000","SIEM monitoring, malware analysis, security audits",8-10 hours,Frequently (6-10 applications at a time),"5 - Very heavy (machine learning, scientific computing)",Partially (some tasks are slow or require workarounds),No performance issues,Never,Rarely (1-2 hours/month),No (no backup power),ADSL broadband,Larger battery (for laptops);Faster CPU/Processor;More RAM (memory),1-2 years ago,Gaming Laptop,Preferred portable but not critical,
2026/02/20 12:14:22 PM GMT+5:30,IT Support/Helpdesk,Helpdesk Analyst,Information Technology (IT),201-500 (Large organization),10+ years,On-site (at campus/office),Standard Laptop,16 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-13400,10 cores,3.3 GHz,NVMe SSD (Faster PCIe SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics,Shared,Windows 11,14 inches,Dual monitors,"ServiceNow, Zendesk, Active Directory, PowerShell",Small (Under 10 MB),"LKR 200,000 - 250,000","Hardware maintenance, software installation, user training",8-10 hours,Frequently (6-10 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",System freezes/lag,Occasionally (2-3 times per week),Occasionally (1-2 hours/week),Yes (Generator),ADSL broadband,Faster storage (SSD upgrade);Larger battery (for laptops);Faster CPU/Processor,More than 3 years ago,Windows Laptop,Must be portable (travel frequently for work),
2026/02/20 12:21:22 PM GMT+5:30,Database Administrator,SQL Developer,Information Technology (IT),11-50 (Small to medium),10+ years,On-site (at campus/office),Desktop PC (Standard),32 GB,Intel,"High-end (i7, Ryzen 7, M2/M3)",Intel Core i7-13700K,8 cores,3.7 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel Iris Xe,Shared,Windows 11,22 inches (external monitor),Dual monitors,"SQL Server Management Studio, MySQL Workbench, Oracle SQL Developer",Large files (100 MB - 1 GB),"LKR 250,000 - 300,000","Schema design, performance monitoring, data migration",6-8 hours,Moderately (3-5 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs",System freezes/lag,Occasionally (2-3 times per week),Frequently (3-4 hours/week),Yes (UPS),ADSL broadband,Larger battery (for laptops);Larger or faster storage (SSD upgrade);More RAM (memory),1-2 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2026/02/20 12:28:22 PM GMT+5:30,Teacher/Educator,University Lecturer,Education - University,11-50 (Small to medium),4-6 years,Remote/Work from home,Standard Laptop,8 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-12500,8 cores,3.0 GHz,SATA SSD (Slower SSD),500 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics 770,Shared,Windows 11,15 inches,Single monitor/screen only,"PowerPoint, Google Classroom, YouTube, Email",Small (Under 10 MB),"Under LKR 100,000","Content creation for courses, video calls, presentations",6-8 hours,Occasionally (2-3 apps at a time),"2 - Light (document editing, web browsing)",Partially (some tasks are slow or require workarounds),Slow boot times;Application crashes;Overheating,Frequently (multiple times daily),Never,Yes (Generator),Fiber broadband (University network),Faster storage (SSD upgrade);Faster CPU/Processor,2-3 years ago,Windows Laptop,Must be portable (travel frequently for work),
2026/02/20 12:35:22 PM GMT+5:30,Medical/Healthcare Professional,Nurse,Healthcare,201-500 (Large organization),7-10 years,Remote/Work from home,Standard Laptop,16 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-12600K,10 cores,3.3 GHz,SATA SSD (Slower SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel Iris Xe,Shared,Windows 11,15 inches,Triple monitors,"HMIS, OpenEMR, MS Office, Zoom, PACS viewer",Small (Under 10 MB),"LKR 150,000 - 200,000","EMR/EHR data entry, telemedicine, prescriptions",6-8 hours,Occasionally (2-3 apps at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",No performance issues,Occasionally (2-3 times per week),Never,Yes (UPS),"Fiber broadband (SLT, Dialog Fiber, etc.)",Faster storage (SSD upgrade);Faster CPU/Processor;Better GPU (graphics card),2-3 years ago,Windows Laptop,Must be portable (travel frequently for work),
2026/02/20 12:42:22 PM GMT+5:30,Architect/Civil Engineer,Structural Engineer,Engineering/Manufacturing,501-1000 (Large organization),Less than 1 year,On-site (at campus/office),Desktop PC (Custom built),64 GB,AMD,"High-end (i7, Ryzen 7, M2/M3)",AMD Ryzen 7 7700X,10 cores,3.7 GHz,NVMe SSD (Faster PCIe SSD),2 TB,"High-end dedicated GPU (RTX 4070, RX 7800 XT)",NVIDIA RTX 4070,12 GB,Windows 11,27 inches (external monitor),Triple monitors,"STAAD Pro, ETABS, ArchiCAD, Rhino",Large files (100 MB - 1 GB),"LKR 250,000 - 300,000","CAD design, structural analysis, BIM modeling, rendering",6-8 hours,Moderately (3-5 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs",No performance issues,Never,Rarely (1-2 hours/month),Yes (UPS),Fiber broadband (University network),More RAM (memory);Faster CPU/Processor;Larger or faster storage (SSD upgrade),Less than 1 year ago,Desktop PC (Tower/Standard),"No, can be stationary",
2026/02/20 12:49:22 PM GMT+5:30,Mobile App Developer,iOS Developer,Information Technology (IT),51-200 (Medium-sized business),10+ years,On-site (at campus/office),Gaming Laptop,16 GB,Intel,"High-end (i7, Ryzen 7, M2/M3)",Intel Core i7-13700K,8 cores,3.5 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel Iris Xe,Shared,Windows 11,15 inches,Triple monitors,"Android Studio, Xcode, Flutter SDK, VS Code, Firebase",Medium (10 MB - 100 MB),"LKR 250,000 - 300,000","Cross-platform app development, API integration",6-8 hours,Moderately (3-5 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)",Partially (some tasks are slow or require workarounds),System freezes/lag,Rarely (once a week or less),Frequently (3-4 hours/week),Not needed,ADSL broadband,Larger battery (for laptops);Larger or faster storage (SSD upgrade);More RAM (memory),More than 3 years ago,Gaming Laptop,Preferred portable but not critical,
2026/02/20 12:56:22 PM GMT+5:30,Game Developer,Game Programmer,Creative Arts/Media,51-200 (Medium-sized business),10+ years,Hybrid,Gaming Laptop,64 GB,Intel,"Enthusiast/Workstation (i9, Ryzen 9, Threadripper)",Intel Core i9-13900K,16 cores,3.7 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"Mid-range dedicated GPU (RTX 3060, RX 6700 XT)",NVIDIA RTX 3070,8 GB,Windows 11,17 inches,Dual monitors,"C#, C++, Maya, Substance Painter, Perforce",Large files (100 MB - 1 GB),"Above LKR 300,000","Game development, 3D modeling, level design, scripting",8-10 hours,Frequently (6-10 applications at a time),"5 - Very heavy (machine learning, scientific computing)",Partially (some tasks are slow or require workarounds),No performance issues,Occasionally (2-3 times per week),Frequently (3-4 hours/week),Yes (UPS),Mobile broadband (4G/5G dongle),More RAM (memory),1-2 years ago,Gaming Laptop,Preferred portable but not critical,
2026/02/20 1:03:22 PM GMT+5:30,QA/Test Engineer,Automation Test Engineer,Information Technology (IT),51-200 (Medium-sized business),1-3 years,Hybrid,Desktop PC (Standard),16 GB,AMD,"Mid-range (i5, Ryzen 5, M1/M2)",AMD Ryzen 5 5600H,10 cores,3.6 GHz,NVMe SSD (Faster PCIe SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics,Shared,Windows 11,21 inches,Single monitor/screen only,"Cypress, Robot Framework, JMeter, Xray",Small (Under 10 MB),"LKR 150,000 - 200,000","Manual testing, test automation, bug reporting",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",System freezes/lag;Application crashes,Occasionally (2-3 times per week),Rarely (1-2 hours/month),Yes (UPS),Mobile broadband (4G/5G dongle),More RAM (memory);Larger battery (for laptops);Faster CPU/Processor,More than 3 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2026/02/20 1:10:22 PM GMT+5:30,Software Developer/Engineer,Backend Developer,Information Technology (IT),1000+ (Enterprise),1-3 years,Remote/Work from home,MacBook or Mac desktop,32 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-11400H,8 cores,3.0 GHz,NVMe SSD (Faster PCIe SSD),512 GB,"Mid-range dedicated GPU (RTX 3060, RX 6700 XT)",NVIDIA RTX 4060,8 GB,macOS,14 inches,Single monitor/screen only,"VS Code, Docker, Git, Chrome, Postman",Small (Under 10 MB),"Above LKR 300,000","Backend development, database management",6-8 hours,Moderately (3-5 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)",Partially (some tasks are slow or require workarounds),No performance issues,Never,Rarely (1-2 hours/month),Yes (UPS),"Fiber broadband (SLT, Dialog Fiber, etc.)",Better GPU (graphics card);Larger battery (for laptops),Less than 1 year ago,MacBook or Mac desktop,Must be portable (travel frequently for work),
2026/02/20 1:17:22 PM GMT+5:30,DevOps Engineer,Site Reliability Engineer,Information Technology (IT),1-10 (Small business/Startup),Less than 1 year,Remote/Work from home,Desktop PC (Custom built),64 GB,AMD,"High-end (i7, Ryzen 7, M2/M3)",AMD Ryzen 7 7700X,8 cores,4.0 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics 770,Shared,Windows 11,32 inches (external monitor),Dual monitors,"Ansible, Grafana, Prometheus, GitLab CI",Small (Under 10 MB),"Above LKR 300,000","Infrastructure as code, monitoring, automation",8-10 hours,Frequently (6-10 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs",System freezes/lag,Never,Rarely (1-2 hours/month),Yes (UPS),ADSL broadband,Larger or faster storage (SSD upgrade),Less than 1 year ago,Desktop PC (Tower/Standard),"No, can be stationary",
2026/02/20 1:24:22 PM GMT+5:30,Data Scientist/Analyst,AI Researcher,Information Technology (IT),51-200 (Medium-sized business),Less than 1 year,On-site (at campus/office),Desktop PC (Custom built),128 GB,Intel,"Enthusiast/Workstation (i9, Ryzen 9, Threadripper)",Intel Core i9-12900K,12 cores,4.5 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"High-end dedicated GPU (RTX 4070, RX 7800 XT)",AMD Radeon RX 7800 XT,12 GB,Windows 11,32 inches (external monitor),Single monitor/screen only,"R Studio, Power BI, Excel, SQL, TensorFlow",Very large files (1 GB+),"LKR 250,000 - 300,000","Data analysis, machine learning model training, visualization",8-10 hours,Frequently (6-10 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)",Partially (some tasks are slow or require workarounds),No performance issues,Rarely (once a week or less),Rarely (1-2 hours/month),Not needed,"Fiber broadband (SLT, Dialog Fiber, etc.)",Faster storage (SSD upgrade),1-2 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2026/02/20 1:31:22 PM GMT+5:30,Graphic Designer/Video Editor,Graphic Designer,Creative Arts/Media,501-1000 (Large organization),7-10 years,Remote/Work from home,Desktop PC (Custom built),16 GB,Apple,"Mid-range (i5, Ryzen 5, M1/M2)",Apple M1,8 cores,3.0 GHz,NVMe SSD (Faster PCIe SSD),2 TB,"High-end dedicated GPU (RTX 4070, RX 7800 XT)",AMD Radeon RX 7800 XT,12 GB,Windows 11,27 inches (external monitor),Dual monitors,"Canva Pro, Sketch, Adobe XD, Affinity Designer",Medium (10 MB - 100 MB),"Above LKR 300,000","Graphic design, UI mockups, branding",8-10 hours,Moderately (3-5 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs",No performance issues,Never,Never,No (no backup power),"Fiber broadband (SLT, Dialog Fiber, etc.)",More RAM (memory);Faster CPU/Processor,More than 3 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2026/02/20 1:38:22 PM GMT+5:30,Video Editor/Content Creator,Video Editor,Creative Arts/Media,1-10 (Small business/Startup),Less than 1 year,On-site (at campus/office),MacBook or Mac desktop,64 GB,Intel,"High-end (i7, Ryzen 7, M2/M3)",Intel Core i7-12700K,8 cores,3.2 GHz,NVMe SSD (Faster PCIe SSD),2 TB,"High-end dedicated GPU (RTX 4070, RX 7800 XT)",NVIDIA RTX 3080,12 GB,macOS,13 inches,Single monitor/screen only,"Blender, Cinema 4D, Maya, Unreal Engine",Large files (100 MB - 1 GB),"Above LKR 300,000","3D animation, rendering, VFX",6-8 hours,Frequently (6-10 applications at a time),"5 - Very heavy (machine learning, scientific computing)","Yes, fully meets my needs",No performance issues,Never,Rarely (1-2 hours/month),No (no backup power),Mobile broadband (4G/5G dongle),Larger battery (for laptops);Larger or faster storage (SSD upgrade),2-3 years ago,MacBook or Mac desktop,Must be portable (travel frequently for work),
2026/02/20 1:45:22 PM GMT+5:30,University/College Student (CS/IT),IT Undergraduate,Education - University,51-200 (Medium-sized business),2-3 years,Hybrid,Standard Laptop,8 GB,AMD,"Mid-range (i5, Ryzen 5, M1/M2)",AMD Ryzen 5 6600U,10 cores,3.3 GHz,eMMC storage,512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel Iris Xe,Shared,Windows 11,14 inches,Triple monitors,"VS Code, Chrome, MS Office, Zoom, Google Meet",Small (Under 10 MB),"LKR 100,000 - 150,000","Data structures coursework, algorithm design, web development",4-6 hours,Occasionally (2-3 apps at a time),"3 - Moderate (programming, data analysis, photo editing)",Partially (some tasks are slow or require workarounds),Slow boot times;Application crashes;Overheating,Rarely (once a week or less),Never,Yes (UPS),ADSL broadband,Faster storage (SSD upgrade);Larger or faster storage (SSD upgrade),More than 3 years ago,Windows Laptop,Must be portable (travel frequently for work),
2026/02/20 1:52:22 PM GMT+5:30,University/College Student (Non-IT),Arts Student,Education - University,1-10 (Small business/Startup),2-3 years,Hybrid,Budget Laptop,4 GB,AMD,"Entry-level (i3, Ryzen 3, M1)",AMD Athlon Silver 3050U,4 cores,1.1 GHz,HDD (Hard Disk Drive),64 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics,Shared,Windows 11 Home,15 inches,Single monitor/screen only,"MS Office, Google Docs, Chrome, Zoom, Teams",Small (Under 10 MB),"LKR 100,000 - 150,000","Assignments, research, online learning, presentations",2-4 hours,Rarely (1-2 apps at a time),"2 - Light (document editing, web browsing)",Partially (some tasks are slow or require workarounds),Slow boot times,Occasionally (2-3 times per week),Frequently (3-4 hours/week),No (no backup power),"Fiber broadband (SLT, Dialog Fiber, etc.)",Faster storage (SSD upgrade);Larger or faster storage (SSD upgrade),More than 3 years ago,Windows Laptop,Must be portable (travel frequently for work),
2026/02/20 1:59:22 PM GMT+5:30,Business Analyst/Manager,Marketing Manager,Finance/Banking,201-500 (Large organization),10+ years,Hybrid,Desktop PC (Standard),8 GB,AMD,"Entry-level (i3, Ryzen 3, M1)",AMD Ryzen 3 4300G,4 cores,3.0 GHz,NVMe SSD (Faster PCIe SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel Iris Xe,Shared,Windows 11,21 inches,Dual monitors,"Salesforce, HubSpot, Trello, Asana, Google Workspace",Small (Under 10 MB),"LKR 200,000 - 250,000","Business reporting, stakeholder meetings, project tracking",6-8 hours,Occasionally (2-3 apps at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",Slow boot times;Application crashes;Overheating,Rarely (once a week or less),Occasionally (1-2 hours/week),No (no backup power),Fiber broadband (University network),Larger or faster storage (SSD upgrade);Better GPU (graphics card);Larger battery (for laptops),2-3 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2026/02/20 2:06:22 PM GMT+5:30,Accountant/Finance Officer,Payroll Officer,Finance/Banking,11-50 (Small to medium),4-6 years,Remote/Work from home,Desktop PC (Standard),8 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-1235U,8 cores,3.3 GHz,HDD (Hard Disk Drive),500 GB,"Integrated graphics (Intel UHD, AMD Radeon)",AMD Radeon 680M,Shared,Windows 11,24 inches (external monitor),Triple monitors,"Xero, MYOB, Sage, Email",Small (Under 10 MB),"LKR 150,000 - 200,000","Accounting, payroll, financial reporting, tax filing",6-8 hours,Occasionally (2-3 apps at a time),"3 - Moderate (programming, data analysis, photo editing)",Partially (some tasks are slow or require workarounds),Overheating,Occasionally (2-3 times per week),Never,No (no backup power),"Fiber broadband (SLT, Dialog Fiber, etc.)",Faster CPU/Processor,More than 3 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2026/02/20 2:13:22 PM GMT+5:30,HR/Administrative Officer,Office Manager,Healthcare,1000+ (Enterprise),7-10 years,Remote/Work from home,Desktop PC (Standard),8 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-11400H,6 cores,3.0 GHz,HDD (Hard Disk Drive),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel Iris Xe,Shared,Windows 11,21 inches,Triple monitors,"BambooHR, Workday, MS Teams, Excel",Small (Under 10 MB),"LKR 100,000 - 150,000","Scheduling, document management, email communication",6-8 hours,Rarely (1-2 apps at a time),"2 - Light (document editing, web browsing)",No (insufficient for my needs),System freezes/lag,Never,Occasionally (1-2 hours/week),Yes (UPS),Mobile broadband (4G/5G dongle),Faster CPU/Processor;More RAM (memory);Larger battery (for laptops),Less than 1 year ago,Desktop PC (Tower/Standard),"No, can be stationary",
